día,sanos,infectados,recuperados,muertos
0,115,5,0,0
1,113,7,0,0
2,113,7,0,0
3,113,6,0,1
4,111,8,0,1
5,108,11,0,1
6,105,14,0,1
7,104,15,0,1
8,103,14,2,1
9,101,15,3,1
10,99,15,4,2
11,99,14,4,3
12,99,13,4,4
13,99,10,7,4
14,99,10,7,4
15,99,9,8,4
16,98,9,9,4
17,98,9,9,4
18,98,9,9,4
19,97,7,11,5
20,97,5,11,7
21,97,5,11,7
22,97,4,11,8
23,97,4,11,8
24,96,5,11,8
25,96,5,11,8
26,96,5,11,8
27,96,5,11,8
28,96,5,11,8
29,96,4,11,9
30,96,3,12,9
31,96,3,12,9
32,96,3,12,9
33,95,4,12,9
34,95,4,12,9
35,95,4,12,9
36,95,4,12,9
37,95,4,12,9
38,95,4,12,9
39,94,5,12,9
40,94,5,12,9
41,94,4,13,9
42,94,4,13,9
43,94,3,14,9
44,94,3,14,9
45,93,4,14,9
46,93,4,14,9
47,93,4,14,9
48,93,4,14,9
49,93,4,14,9
50,93,3,15,9
51,93,3,15,9
52,93,3,15,9
53,93,3,15,9
54,92,4,15,9
55,92,3,16,9
56,92,3,16,9
57,92,3,16,9
58,92,3,16,9
59,92,3,16,9
60,92,2,17,9
61,92,2,17,9
62,91,3,17,9
63,91,3,17,9
64,91,2,18,9
65,91,0,20,9
